Commitment,Adobe,Amazon,Anthropic,Apple,Cohere,Google,IBM,Inflection,Meta,Microsoft,Nvidia,OpenAI,Palantir,Scale AI,Salesforce,Stability AI,Average
Red-teaming,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.7083333333333333
Information Sharing,0.25,0.75,1.0,0.25,0.5,0.75,0.5,0.25,0.75,0.75,0.25,1.0,0.25,0.25,0.25,0.5,0.515625
Model weight security,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.2708333333333333
Third-party reporting,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.21875
Watermarking/Provenance,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.90625
Public reporting,0.42857142857142855,0.8571428571428571,1.0,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.6339285714285714
Societal risk research,0.5,1.0,0.75,0.5,0.75,1.0,0.75,0.5,1.0,1.0,0.25,1.0,0.5,0.25,1.0,0.25,0.6875
Address society's greatest challenges,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5208333333333333
